,Full path,Coordinates
0,.\DataBase\Runway 1\06100.jpg,"['153', '164', '161', '156', '96', '97', '82', '82']"
1,.\DataBase\Runway 1\06101.jpg,"['153', '165', '161', '156', '97', '97', '82', '82']"
2,.\DataBase\Runway 1\06102.jpg,"['153', '165', '161', '157', '97', '97', '82', '82']"
3,.\DataBase\Runway 1\06103.jpg,"['153', '165', '161', '157', '97', '97', '82', '82']"
4,.\DataBase\Runway 1\06104.jpg,"['153', '165', '161', '157', '97', '97', '82', '82']"
5,.\DataBase\Runway 1\06105.jpg,"['153', '165', '161', '157', '97', '97', '82', '82']"
6,.\DataBase\Runway 1\06106.jpg,"['153', '165', '161', '157', '97', '97', '82', '82']"
7,.\DataBase\Runway 1\06107.jpg,"['153', '165', '161', '157', '98', '98', '83', '83']"
8,.\DataBase\Runway 1\06108.jpg,"['153', '165', '161', '157', '98', '98', '83', '83']"
9,.\DataBase\Runway 1\06109.jpg,"['153', '165', '161', '157', '98', '98', '83', '83']"
10,.\DataBase\Runway 1\06110.jpg,"['153', '165', '161', '157', '98', '98', '83', '83']"
11,.\DataBase\Runway 1\06111.jpg,"['153', '165', '161', '157', '98', '98', '83', '83']"
12,.\DataBase\Runway 1\06112.jpg,"['152', '165', '161', '157', '99', '99', '84', '84']"
13,.\DataBase\Runway 1\06113.jpg,"['153', '165', '161', '157', '99', '99', '84', '84']"
14,.\DataBase\Runway 1\06114.jpg,"['153', '165', '161', '157', '99', '100', '84', '84']"
15,.\DataBase\Runway 1\06115.jpg,"['151', '166', '161', '156', '100', '99', '85', '85']"
16,.\DataBase\Runway 1\06116.jpg,"['153', '166', '161', '157', '100', '100', '85', '85']"
17,.\DataBase\Runway 1\06117.jpg,"['153', '166', '161', '157', '100', '100', '85', '85']"
18,.\DataBase\Runway 1\06118.jpg,"['153', '166', '161', '157', '100', '100', '85', '85']"
19,.\DataBase\Runway 1\06119.jpg,"['153', '166', '161', '157', '101', '101', '85', '85']"
20,.\DataBase\Runway 1\06120.jpg,"['153', '166', '161', '157', '101', '101', '85', '85']"
21,.\DataBase\Runway 1\06121.jpg,"['152', '166', '161', '157', '100', '100', '85', '85']"
22,.\DataBase\Runway 1\06122.jpg,"['152', '166', '161', '157', '101', '101', '85', '85']"
23,.\DataBase\Runway 1\06123.jpg,"['153', '166', '161', '157', '101', '101', '85', '85']"
24,.\DataBase\Runway 1\06124.jpg,"['152', '166', '161', '157', '101', '101', '86', '86']"
25,.\DataBase\Runway 1\06125.jpg,"['152', '166', '162', '156', '100', '102', '87', '86']"
26,.\DataBase\Runway 1\06126.jpg,"['152', '167', '161', '157', '101', '102', '86', '86']"
27,.\DataBase\Runway 1\06127.jpg,"['153', '166', '161', '157', '102', '103', '86', '86']"
28,.\DataBase\Runway 1\06128.jpg,"['152', '165', '162', '157', '102', '102', '86', '86']"
29,.\DataBase\Runway 1\06129.jpg,"['152', '166', '161', '156', '102', '102', '87', '87']"
30,.\DataBase\Runway 1\06130.jpg,"['151', '166', '161', '157', '102', '102', '87', '87']"
31,.\DataBase\Runway 1\06131.jpg,"['152', '166', '161', '157', '102', '102', '87', '87']"
32,.\DataBase\Runway 1\06132.jpg,"['152', '165', '162', '157', '102', '102', '87', '87']"
33,.\DataBase\Runway 1\06133.jpg,"['152', '166', '161', '157', '102', '103', '87', '87']"
34,.\DataBase\Runway 1\06134.jpg,"['152', '166', '161', '157', '102', '103', '87', '87']"
35,.\DataBase\Runway 1\06135.jpg,"['152', '166', '161', '157', '102', '103', '87', '88']"
36,.\DataBase\Runway 1\06136.jpg,"['153', '165', '161', '157', '103', '103', '87', '87']"
37,.\DataBase\Runway 1\06137.jpg,"['152', '166', '161', '157', '103', '104', '87', '87']"
38,.\DataBase\Runway 1\06138.jpg,"['152', '166', '162', '157', '103', '103', '88', '88']"
39,.\DataBase\Runway 1\06139.jpg,"['152', '166', '162', '157', '103', '104', '88', '88']"
40,.\DataBase\Runway 1\06140.jpg,"['152', '166', '162', '157', '103', '104', '88', '88']"
41,.\DataBase\Runway 1\06141.jpg,"['152', '166', '162', '156', '104', '104', '88', '88']"
42,.\DataBase\Runway 1\06142.jpg,"['152', '166', '161', '157', '104', '104', '88', '88']"
43,.\DataBase\Runway 1\06143.jpg,"['152', '165', '161', '157', '103', '103', '87', '88']"
44,.\DataBase\Runway 1\06144.jpg,"['152', '166', '162', '157', '104', '104', '88', '88']"
45,.\DataBase\Runway 1\06145.jpg,"['152', '166', '162', '157', '104', '104', '88', '88']"
46,.\DataBase\Runway 1\06146.jpg,"['152', '166', '162', '157', '104', '104', '88', '88']"
47,.\DataBase\Runway 1\06147.jpg,"['152', '166', '162', '157', '103', '103', '88', '88']"
48,.\DataBase\Runway 1\06148.jpg,"['152', '166', '161', '156', '103', '103', '88', '88']"
49,.\DataBase\Runway 1\06149.jpg,"['152', '166', '161', '157', '104', '104', '88', '88']"
50,.\DataBase\Runway 1\06150.jpg,"['152', '166', '162', '157', '104', '105', '88', '88']"
51,.\DataBase\Runway 1\06151.jpg,"['153', '166', '162', '157', '103', '104', '88', '88']"
52,.\DataBase\Runway 1\06152.jpg,"['153', '166', '162', '157', '104', '105', '88', '88']"
53,.\DataBase\Runway 1\06153.jpg,"['153', '167', '162', '157', '103', '104', '89', '88']"
54,.\DataBase\Runway 1\06154.jpg,"['154', '167', '162', '157', '104', '104', '88', '88']"
55,.\DataBase\Runway 1\06155.jpg,"['154', '167', '162', '158', '104', '104', '88', '88']"
56,.\DataBase\Runway 1\06156.jpg,"['153', '167', '162', '157', '104', '104', '88', '88']"
57,.\DataBase\Runway 1\06157.jpg,"['153', '167', '162', '157', '104', '104', '89', '89']"
58,.\DataBase\Runway 1\06158.jpg,"['153', '167', '163', '157', '104', '105', '89', '89']"
59,.\DataBase\Runway 1\06159.jpg,"['153', '167', '162', '157', '105', '105', '89', '88']"
